procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  44252  52356 291084    0    0     3    10  235  180  5  2 92  0  0
 0  0      0  44252  52356 291084    0    0     0     0  467  430  0  1 99  0  0
 0  0      0  44252  52356 291084    0    0     0     0  422  401  1  1 98  0  0
 0  0      0  44252  52356 291084    0    0     0     0  415  401  0  1 99  0  0
 0  0      0  42600  52356 291084    0    0     0     0 2700  696  4 30 67  0  0
 1  0      0  42120  52356 291084    0    0     0     0 1980  641  1 17 82  0  0
 1  0      0  41340  52356 291084    0    0     0    32 2249  694  2 25 73  0  0
 0  0      0  40452  52356 291084    0    0     0     0 3011  798  4 30 66  0  0
 1  0      0  40116  52356 291084    0    0     0     0 2830  741  3 29 69  0  0
 0  0      0  39572  52356 291084    0    0     0     0 2355  582  0 26 74  0  0
 0  0      0  39416  52356 291084    0    0     0     0 2699  704  0 35 65  0  0
 1  0      0  38368  52356 291088    0    0     0    16 2597  726  0 22 78  0  0
 3  0      0  37964  52356 291088    0    0     0     0 1633  534  0 18 82  0  0
 0  0      0  37612  52356 291088    0    0     0     0 1322  500  0 11 89  0  0
 0  0      0  36832  52356 291088    0    0     0     0 1284  553  2  8 90  0  0
 0  0      0  35700  52356 291088    0    0     0     0 1438  496  0 17 83  0  0
 0  0      0  33756  52356 291088    0    0     0    16 1653  607  0 26 74  0  0
 0  0      0  33804  52356 291088    0    0     0     0 1733  655  1  9 90  0  0
 0  0      0  33840  52356 291088    0    0     0     0 1667  583  2 13 85  0  0
 1  0      0  33716  52356 291092    0    0     0     0 1666  563  3 16 80  0  0
 0  0      0  33360  52356 291092    0    0     0     0 1528  565  1 12 87  0  0
 0  0      0  33424  52356 291092    0    0     0    16 1054  523  1 12 86  1  0
 1  0      0  33248  52356 291092    0    0     0     0 1725  612  0 14 86  0  0
 0  0      0  33216  52356 291092    0    0     0     0 1575  643  1 10 89  0  0
 0  0      0  33216  52356 291092    0    0     0    40 1003  571  1  2 97  0  0
 0  0      0  33120  52356 291092    0    0     0     0 1046  549  2  5 92  0  0
 0  0      0  33120  52360 291092    0    0     0    12  943  456  0  3 97  0  0
 0  0      0  33056  52360 291092    0    0     0     0 1200  519  0  7 93  0  0
 0  0      0  33088  52360 291092    0    0     0     0 1141  487  0  7 93  0  0
 1  0      0  33152  52360 291092    0    0     0     0 2467  642  4 22 75  0  0
 0  0      0  33216  52360 291092    0    0     0     0 1874  581  0 16 84  0  0
 1  0      0  33136  52360 291092    0    0     0    16 1529  589  0 10 89  1  0
 0  0      0  33104  52360 291092    0    0     0     0 1428  554  1 12 87  0  0
 0  0      0  32820  52360 291092    0    0     0     0 1703  596  2 12 86  0  0
 0  0      0  32836  52360 291092    0    0     0     4 1490  585  1 11 88  0  0
 0  0      0  32692  52360 291092    0    0     0     0 1467  502  1  7 92  0  0
 0  0      0  32708  52364 291092    0    0     0    24 1184  480  0  7 93  0  0
 0  0      0  32676  52364 291092    0    0     0     0 1469  527  0 10 90  0  0
 0  0      0  32580  52364 291092    0    0     0     0 1293  501  0 12 88  0  0
 0  0      0  32612  52364 291092    0    0     0     4 1177  537  0  4 96  0  0
 0  0      0  32452  52364 291092    0    0     0     0 1410  503  0 13 87  0  0
 1  0      0  32468  52372 291092    0    0     0    16 1696  550  0 16 83  1  0
 0  0      0  32660  52372 291092    0    0     0     0 2269  660  1 19 79  0  0
 0  0      0  32676  52372 291096    0    0     0     0 2136  594  1 18 81  0  0
 0  0      0  32772  52372 291096    0    0     0     0 2286  628  3 15 82  0  0
 0  0      0  32916  52372 291096    0    0     0     0 2416  700  0 22 78  0  0
 0  0      0  33028  52372 291096    0    0     0    16 1483  626  2 14 84  0  0
 0  0      0  33168  52372 291096    0    0     0     0 2463  705  4 33 64  0  0
 0  0      0  33208  52372 291096    0    0     0     0 2055  710  0 23 77  0  0
 0  0      0  33112  52372 291100    0    0     0     4 2208  608  1 23 76  0  0
 2  0      0  32972  52372 291100    0    0     0     0 2284  631  1 19 80  0  0
 0  0      0  33004  52376 291100    0    0     0    24 2125  631  2 17 81  0  0
 0  0      0  33020  52376 291100    0    0     0     0 2006  611  2 14 84  0  0
 0  0      0  33004  52376 291100    0    0     0     0 1274  501  0 10 90  0  0
 0  0      0  33052  52376 291100    0    0     0     0 1613  529  0  8 93  0  0
 0  0      0  33052  52376 291100    0    0     0     0 2059  627  1 13 86  0  0
 1  0      0  33084  52384 291100    0    0     0    16 1219  553  2  5 91  1  0
 0  0      0  33084  52384 291100    0    0     0     0 1252  515  3  9 88  0  0
 0  0      0  33020  52384 291100    0    0     0     0 1851  606  2 11 87  0  0
