procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512  63728  50824 270856    0    0     2     8  137   34  5  3 92  0  0
 0  0    512  63728  50824 270856    0    0     0     0  418  400  0  1 99  0  0
 0  0    512  63728  50824 270856    0    0     0     0  434  410  1  1 98  0  0
 1  0    512  63728  50824 270856    0    0     0     0  444  409  1  0 99  0  0
 0  1    512  63728  50828 270856    0    0     0    40  432  419  0  0 85 15  0
 0  0    512  63728  50828 270856    0    0     0     4  537  510  1  1 81 18  0
12  0    512  62908  50828 270856    0    0     0     0 5653  653  0 97  3  0  0
14  0    512  62012  50828 270856    0    0     0     0 5913  662  1 99  0  0  0
18  0    512  60820  50828 270856    0    0     0     0 5668  701  2 98  0  0  0
24  0    512  59048  50832 270860    0    0     0    52 5544  839  2 98  0  0  0
25  0    512  57848  50832 270860    0    0     0     0 5700  664  2 98  0  0  0
31  0    512  56028  50832 270860    0    0     0     0 5667  642  3 97  0  0  0
33  0    512  54252  50832 270864    0    0     0     0 5389  762  3 97  0  0  0
32  0    512  52612  50832 270864    0    0     0     0 5590  821  1 99  0  0  0
31  0    512  52348  50832 270864    0    0     0     0 5967  797  3 97  0  0  0
32  0    512  50628  50832 270868    0    0     0    16 5059  797 16 84  0  0  0
33  0    512  51048  50832 270868    0    0     0     0 4823  782 20 80  0  0  0
31  0    512  50960  50832 270872    0    0     0     0 5733  795 11 89  0  0  0
30  0    512  50800  50832 270872    0    0     0     0 5132  688 19 81  0  0  0
29  0    512  50896  50832 270872    0    0     0     0 6016  685  2 98  0  0  0
32  0    512  50784  50832 270872    0    0     0    20 5242  706 16 84  0  0  0
32  0    512  50912  50832 270872    0    0     0     0 5573  665 10 90  0  0  0
33  0    512  50672  50832 270876    0    0     0     0 5918  699  2 98  0  0  0
32  0    512  50720  50832 270876    0    0     0     0 5799  728  2 98  0  0  0
30  0    512  50880  50832 270876    0    0     0     0 4782  701 18 82  0  0  0
30  0    512  50800  50836 270880    0    0     0    24 5869  743  2 98  0  0  0
29  0    512  51404  50836 270880    0    0     0     0 5478  760  1 99  0  0  0
35  0    512  51292  50836 270884    0    0     0     0 5897  699  4 96  0  0  0
31  0    512  51612  50836 270884    0    0     0     0 6032  798  0 100  0  0  0
29  0    512  51820  50836 270884    0    0     0     0 5971  846  3 97  0  0  0
31  0    512  51740  50836 270884    0    0     0    24 5839  849  4 96  0  0  0
33  0    512  51804  50836 270888    0    0     0     0 5877  846  0 100  0  0  0
32  0    512  51516  50836 270888    0    0     0     0 6030  814  2 98  0  0  0
31  0    512  51804  50836 270888    0    0     0     0 6020  813  0 100  0  0  0
31  0    512  51676  50836 270888    0    0     0     4 5990  828  1 99  0  0  0
28  0    512  51740  50836 270888    0    0     0    24 6000  833  1 99  0  0  0
31  0    512  51740  50836 270892    0    0     0     0 5886  822  4 96  0  0  0
31  0    512  51532  50836 270892    0    0     0     0 5885  841  2 98  0  0  0
30  0    512  51596  50836 270892    0    0     0     0 5909  831  2 98  0  0  0
29  0    512  51740  50836 270896    0    0     0    36 5926  824  1 99  0  0  0
32  0    512  51628  50836 270896    0    0     0    28 5901  833  1 99  0  0  0
32  0    512  51884  50836 270896    0    0     0     0 5956  828  0 100  0  0  0
