 r ; b ;  swpd ;  free  ; buff ; cache ;  si ;  so ;   bi  ;  bo ;  in ;  cs ;us; sy; id ;wa; st
3;0;0;54964;22924;307100;0;0;5;15;1520;469;1;20;80;0;0
0;0;0;53736;22924;307100;0;0;0;0;3984;555;2;65;33;0;0
8;0;0;50924;22924;307108;0;0;0;0;3364;558;2;59;39;0;0
4;0;0;49808;22924;307108;0;0;0;0;3527;593;3;56;41;0;0
6;0;0;45488;22932;307112;0;0;0;36;5323;665;4;96;0;0;0
33;0;0;44204;22932;307112;0;0;0;0;5745;752;3;97;0;0;0
25;0;0;44240;22932;307112;0;0;0;0;6305;663;0;10;0  0;  ;0  0
20;0;0;44528;22932;307116;0;0;0;0;6149;623;0;10;0  0;  ;0  0
20;0;0;44400;22932;307116;0;0;0;0;6251;661;0;10;0  0;  ;0  0
12;0;0;44752;22932;307116;0;0;0;0;6188;642;1;99;0;0;0
9;0;0;44960;22940;307116;0;0;0;16;6335;669;1;99;0;0;0
24;0;0;44308;22940;307120;0;0;0;0;5601;752;2;95;3;0;0
22;0;0;44276;22940;307120;0;0;0;0;6253;631;0;10;0  0;  ;0  0
14;0;0;44452;22940;307120;0;0;0;0;6236;650;1;99;0;0;0
10;0;0;44836;22940;307120;0;0;0;0;6168;655;0;10;0  0;  ;0  0
10;0;0;44820;22948;307120;0;0;0;16;6388;651;0;10;0  0;  ;0  0
0;0;0;45028;22948;307120;0;0;0;0;2607;487;0;38;62;0;0
19;0;0;44200;22948;307124;0;0;0;0;4507;719;3;77;20;0;0
19;0;0;44312;22948;307124;0;0;0;0;6218;624;1;99;0;0;0
11;0;0;44568;22948;307124;0;0;0;0;6223;643;0;10;0  0;  ;0  0
14;0;0;44568;22956;307124;0;0;0;16;6253;671;0;10;0  0;  ;0  0
0;0;0;44904;22956;307124;0;0;0;0;5925;680;2;95;3;0;0
0;0;0;44904;22956;307124;0;0;0;0;433;409;0;2;98;0;0
25;0;0;44088;22956;307128;0;0;0;32;4627;715;3;79;18;0;0
22;0;0;44136;22956;307128;0;0;0;0;6265;637;1;99;0;0;0
12;0;0;44488;22964;307128;0;0;0;16;6204;669;1;99;0;0;0
4;0;0;44808;22964;307128;0;0;0;0;6113;652;0;10;0  0;  ;0  0
0;0;0;44904;22964;307132;0;0;0;0;1454;515;0;17;83;0;0
0;0;0;44904;22964;307132;0;0;0;0;453;434;0;3;97;0;0
18;0;0;44312;22964;307132;0;0;0;0;4615;707;1;81;18;0;0
18;0;0;44264;22972;307132;0;0;0;16;6277;635;0;10;0  0;  ;0  0
15;0;0;44312;22972;307132;0;0;0;0;6266;654;1;99;0;0;0
6;0;0;44744;22972;307136;0;0;0;0;6105;681;2;98;0;0;0
2;0;0;44904;22972;307136;0;0;0;36;3994;535;0;63;37;0;0
0;0;0;44904;22972;307136;0;0;0;0;417;397;1;1;98;0;0
21;0;0;44344;22980;307140;0;0;0;32;4782;737;5;79;15;1;0
21;0;0;44232;22980;307140;0;0;0;0;6306;633;0;10;0  0;  ;0  0
11;0;0;44552;22980;307140;0;0;0;0;6252;668;0;10;0  0;  ;0  0
0;0;0;44904;22980;307144;0;0;0;0;4873;624;0;76;24;0;0
0;0;0;44872;22980;307144;0;0;0;0;998;479;0;10;90;0;0
0;0;0;44748;22988;307144;0;0;0;16;433;414;1;1;98;0;0
20;0;0;44220;22988;307144;0;0;0;0;4827;715;3;83;14;0;0
20;0;0;44188;22988;307144;0;0;0;0;6227;634;0;10;0  0;  ;0  0
13;0;0;44396;22988;307144;0;0;0;0;6255;633;0;10;0  0;  ;0  0
7;0;0;44604;22988;307148;0;0;0;0;6250;662;1;99;0;0;0
0;0;0;44780;22996;307148;0;0;0;16;2641;524;0;39;61;0;0
0;0;0;44780;22996;307148;0;0;0;0;443;406;0;1;99;0;0
23;0;0;43948;22996;307148;0;0;0;0;4956;709;0;87;13;0;0
21;0;0;44076;22996;307148;0;0;0;0;6271;648;0;10;0  0;  ;0  0
10;0;0;44476;22996;307156;0;0;0;0;6276;657;3;97;0;0;0
8;0;0;44572;23004;307156;0;0;0;16;6320;680;0;10;0  0;  ;0  0
0;0;0;44780;23004;307156;0;0;0;0;4812;576;0;76;24;0;0
0;0;0;44780;23004;307156;0;0;0;0;445;414;1;1;98;0;0
20;0;0;44188;23004;307156;0;0;0;0;5066;718;2;87;11;0;0
21;0;0;44060;23004;307156;0;0;0;0;6310;615;0;10;0  0;  ;0  0
18;0;0;44204;23012;307160;0;0;0;16;6340;640;0;10;0  0;  ;0  0
10;0;0;44524;23012;307160;0;0;0;0;6235;670;2;98;0;0;0
10;0;0;44524;23012;307160;0;0;0;0;6352;637;0;10;0  0;  ;0  0
0;0;0;44780;23012;307160;0;0;0;16;4217;568;0;65;35;0;0
24;0;0;43804;23012;307160;0;0;0;0;5180;717;4;86;10;0;0
24;0;0;43932;23020;307160;0;0;0;16;6310;646;1;99;0;0;0
15;0;0;44316;23020;307164;0;0;0;0;6228;651;1;99;0;0;0
7;0;0;44636;23020;307164;0;0;0;0;6223;680;1;99;0;0;0
0;0;0;44780;23020;307164;0;0;0;8;6168;647;0;98;2;0;0
0;0;0;44780;23020;307164;0;0;0;0;431;400;0;1;99;0;0
19;0;0;44188;23028;307168;0;0;0;24;5169;754;5;86;8;1;0
23;0;0;44156;23028;307168;0;0;0;0;6264;629;0;10;0  0;  ;0  0
14;0;0;44332;23028;307168;0;0;0;0;6240;641;0;10;0  0;  ;0  0
7;0;0;44652;23028;307168;0;0;0;0;6218;651;2;98;0;0;0
0;0;0;44780;23028;307168;0;0;0;28;5601;629;1;89;10;0;0
0;0;0;44780;23036;307168;0;0;0;28;419;407;1;0;98;1;0
24;0;0;43948;23036;307172;0;0;0;0;5339;745;1;92;7;0;0
23;0;0;44012;23036;307172;0;0;0;0;6306;636;2;98;0;0;0
14;0;0;44332;23036;307172;0;0;0;0;6254;653;1;99;0;0;0
12;0;0;44460;23036;307172;0;0;0;0;6252;650;1;99;0;0;0
9;0;0;44556;23044;307172;0;0;0;16;6294;650;0;10;0  0;  ;0  0
2;0;0;44780;23044;307176;0;0;0;0;1385;445;0;19;81;0;0
19;0;0;44284;23044;307176;0;0;0;0;5336;740;5;89;6;0;0
17;0;0;44268;23044;307176;0;0;0;0;6233;616;1;99;0;0;0
6;0;0;44668;23052;307176;0;0;0;16;6284;702;0;10;0  0;  ;0  0
8;0;0;44716;23052;307176;0;0;0;0;6322;658;1;99;0;0;0
0;0;0;44656;23052;307180;0;0;0;0;2485;460;1;34;65;0;0
0;0;0;44656;23052;307180;0;0;0;0;415;406;0;1;99;0;0
20;0;0;43904;23052;307180;0;0;0;0;5426;747;1;95;4;0;0
19;0;0;44000;23052;307180;0;0;0;0;6300;623;1;99;0;0;0
15;0;0;44208;23060;307180;0;0;0;16;6222;655;0;10;0  0;  ;0  0
7;0;0;44480;23060;307184;0;0;0;0;6116;659;0;10;0  0;  ;0  0
0;0;0;44656;23060;307184;0;0;0;0;4084;517;1;62;37;0;0
0;0;0;44656;23060;307184;0;0;0;0;420;404;0;0;100;  ;0  0
15;0;0;44032;23060;307184;0;0;0;0;5453;756;2;95;3;0;0
7;0;0;44480;23068;307188;0;0;0;16;6232;650;1;99;0;0;0
5;0;0;44560;23068;307188;0;0;0;0;6355;632;0;10;0  0;  ;0  0
4;0;0;44656;23068;307188;0;0;0;0;1301;449;1;16;83;0;0
0;0;0;44656;23068;307188;0;0;0;0;2234;438;0;31;69;0;0
0;0;0;44656;23068;307188;0;0;0;20;435;415;0;1;99;0;0
23;0;0;43920;23076;307188;0;0;0;16;5631;749;2;97;1;0;0
22;0;0;43888;23076;307188;0;0;0;0;6345;659;0;10;0  0;  ;0  0
19;0;0;44032;23076;307188;0;0;0;0;6284;635;0;10;0  0;  ;0  0
13;0;0;44240;23076;307192;0;0;0;0;6187;664;2;98;0;0;0
13;0;0;44320;23076;307196;0;0;0;28;6342;634;0;10;0  0;  ;0  0
6;0;0;44592;23084;307196;0;0;0;28;6286;669;1;99;0;0;0
17;0;0;44128;23084;307200;0;0;0;0;5745;776;4;96;0;0;0
13;0;0;44272;23084;307200;0;0;0;0;6303;647;0;10;0  0;  ;0  0
6;0;0;44560;23084;307200;0;0;0;0;6245;633;1;99;0;0;0
0;0;0;44656;23084;307200;0;0;0;0;5588;595;2;87;11;0;0
0;0;0;44656;23092;307200;0;0;0;16;420;407;1;1;97;1;0
8;0;0;44624;23092;307200;0;0;0;0;448;405;1;1;98;0;0
19;0;0;44016;23092;307204;0;0;0;0;5737;757;5;95;0;0;0
12;0;0;44224;23092;307204;0;0;0;0;6231;638;1;99;0;0;0
8;0;0;44512;23100;307204;0;0;0;16;6274;670;1;99;0;0;0
7;0;0;44480;23100;307204;0;0;0;0;6283;654;2;98;0;0;0
0;0;0;44656;23100;307204;0;0;0;0;621;408;0;4;96;0;0
8;0;0;44592;23100;307204;0;0;0;0;478;422;0;3;97;0;0
18;0;0;44120;23100;307208;0;0;0;0;5779;752;3;97;0;0;0
9;0;0;44480;23100;307208;0;0;0;0;6284;664;1;99;0;0;0
5;0;0;44528;23108;307208;0;0;0;16;6271;656;1;99;0;0;0
0;0;0;44656;23108;307208;0;0;0;0;5473;591;0;87;13;0;0
0;0;0;44656;23108;307208;0;0;0;0;434;404;0;1;99;0;0
12;0;0;44528;23108;307208;0;0;0;0;528;432;1;4;95;0;0
20;0;0;43856;23108;307212;0;0;0;0;5812;739;3;97;0;0;0
16;0;0;44032;23116;307212;0;0;0;16;6257;649;2;98;0;0;0
