timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,URL,Latency
1548273641713,178,HTTP Request small1,200,Thread Group traccia1 misto 1-10,true,25314,125,http://192.168.1.118/small1.html,133
1548273641683,260,HTTP Request small2,200,Thread Group traccia1 misto 1-5,true,100309,125,http://192.168.1.118/small2.html,23
1548273641681,273,HTTP Request small2,200,Thread Group traccia1 misto 1-3,true,100309,125,http://192.168.1.118/small2.html,52
1548273641697,280,HTTP Request small2,200,Thread Group traccia1 misto 1-7,true,100309,125,http://192.168.1.118/small2.html,27
1548273641716,909,HTTP Request medium1,200,Thread Group traccia1 misto 1-11,true,500266,126,http://192.168.1.118/medium1.html,13
1548273641677,948,HTTP Request medium1,200,Thread Group traccia1 misto 1-2,true,500266,126,http://192.168.1.118/medium1.html,12
1548273641733,1273,HTTP Request small1,200,Thread Group traccia1 misto 1-18,true,25314,125,http://192.168.1.118/small1.html,1162
1548273641722,1515,HTTP Request medium1,200,Thread Group traccia1 misto 1-12,true,500266,126,http://192.168.1.118/medium1.html,475
1548273641728,1526,HTTP Request medium1,200,Thread Group traccia1 misto 1-14,true,500266,126,http://192.168.1.118/medium1.html,473
1548273641730,1529,HTTP Request medium1,200,Thread Group traccia1 misto 1-16,true,500266,126,http://192.168.1.118/medium1.html,495
1548273641742,1551,HTTP Request small1,200,Thread Group traccia1 misto 1-24,true,25314,125,http://192.168.1.118/small1.html,1547
1548273641736,1586,HTTP Request small2,200,Thread Group traccia1 misto 1-20,true,100309,125,http://192.168.1.118/small2.html,1303
1548273641747,1952,HTTP Request small2,200,Thread Group traccia1 misto 1-25,true,100309,125,http://192.168.1.118/small2.html,1675
1548273641691,2106,HTTP Request medium2,200,Thread Group traccia1 misto 1-4,true,1018167,126,http://192.168.1.118/medium2.html,69
1548273641675,2135,HTTP Request medium2,200,Thread Group traccia1 misto 1-1,true,1018167,126,http://192.168.1.118/medium2.html,6
1548273641729,2134,HTTP Request medium1,200,Thread Group traccia1 misto 1-15,true,500266,126,http://192.168.1.118/medium1.html,948
1548273641764,2168,HTTP Request small1,200,Thread Group traccia1 misto 1-29,true,25314,125,http://192.168.1.118/small1.html,2068
1548273642183,2019,HTTP Request small1,200,Thread Group traccia1 misto 1-5,true,25314,125,http://192.168.1.118/small1.html,2019
1548273641735,2467,HTTP Request medium1,200,Thread Group traccia1 misto 1-19,true,500266,126,http://192.168.1.118/medium1.html,1184
1548273641724,2500,HTTP Request medium2,200,Thread Group traccia1 misto 1-13,true,1018167,126,http://192.168.1.118/medium2.html,463
1548273642180,2246,HTTP Request small2,200,Thread Group traccia1 misto 1-3,true,100309,125,http://192.168.1.118/small2.html,1909
1548273642626,1818,HTTP Request small1,200,Thread Group traccia1 misto 1-11,true,25314,125,http://192.168.1.118/small1.html,1703
1548273641739,2860,HTTP Request medium1,200,Thread Group traccia1 misto 1-21,true,500266,126,http://192.168.1.118/medium1.html,1502
1548273643009,1672,HTTP Request small2,200,Thread Group traccia1 misto 1-18,true,100309,125,http://192.168.1.118/small2.html,1344
1548273641745,3066,HTTP Request medium1,200,Thread Group traccia1 misto 1-23,true,500266,126,http://192.168.1.118/medium1.html,1635
1548273643255,1581,HTTP Request small2,200,Thread Group traccia1 misto 1-14,true,100309,125,http://192.168.1.118/small2.html,1295
1548273641734,3468,HTTP Request medium2,200,Thread Group traccia1 misto 1-17,true,1018167,126,http://192.168.1.118/medium2.html,967
1548273643323,1889,HTTP Request small2,200,Thread Group traccia1 misto 1-20,true,100309,125,http://192.168.1.118/small2.html,1500
1548273643863,1529,HTTP Request small1,200,Thread Group traccia1 misto 1-15,true,25314,125,http://192.168.1.118/small1.html,1473
1548273641765,3832,HTTP Request medium1,200,Thread Group traccia1 misto 1-27,true,500266,126,http://192.168.1.118/medium1.html,2199
1548273644202,1437,HTTP Request small1,200,Thread Group traccia1 misto 1-19,true,25314,125,http://192.168.1.118/small1.html,1322
1548273641764,4003,HTTP Request medium1,200,Thread Group traccia1 misto 1-30,true,500266,126,http://192.168.1.118/medium1.html,2206
1548273644811,1149,HTTP Request small1,200,Thread Group traccia1 misto 1-23,true,25314,125,http://192.168.1.118/small1.html,1033
1548273644202,1819,HTTP Request small2,200,Thread Group traccia1 misto 1-5,true,100309,125,http://192.168.1.118/small2.html,1202
1548273642626,3478,HTTP Request medium1,200,Thread Group traccia1 misto 1-2,true,500266,126,http://192.168.1.118/medium1.html,1676
1548273645203,918,HTTP Request small1,200,Thread Group traccia1 misto 1-17,true,25314,125,http://192.168.1.118/small1.html,913
1548273644836,1311,HTTP Request small1,200,Thread Group traccia1 misto 1-14,true,25314,125,http://192.168.1.118/small1.html,1167
1548273645392,862,HTTP Request small1,200,Thread Group traccia1 misto 1-15,true,25314,125,http://192.168.1.118/small1.html,858
1548273645638,627,HTTP Request small1,200,Thread Group traccia1 misto 1-19,true,25314,125,http://192.168.1.118/small1.html,622
1548273646020,412,HTTP Request small1,200,Thread Group traccia1 misto 1-5,true,25314,125,http://192.168.1.118/small1.html,408
1548273645596,1210,HTTP Request small2,200,Thread Group traccia1 misto 1-27,true,100309,125,http://192.168.1.118/small2.html,555
1548273641698,5181,HTTP Request big1,200,Thread Group traccia1 misto 1-8,true,2035951,123,http://192.168.1.118/big1.html,52
1548273646147,907,HTTP Request small1,200,Thread Group traccia1 misto 1-14,true,25314,125,http://192.168.1.118/small1.html,903
1548273646254,1089,HTTP Request small1,200,Thread Group traccia1 misto 1-15,true,25314,125,http://192.168.1.118/small1.html,1032
1548273646121,1279,HTTP Request small2,200,Thread Group traccia1 misto 1-17,true,100309,125,http://192.168.1.118/small2.html,742
1548273641751,5670,HTTP Request medium2,200,Thread Group traccia1 misto 1-26,true,1018167,126,http://192.168.1.118/medium2.html,1968
1548273641694,5975,HTTP Request big1,200,Thread Group traccia1 misto 1-6,true,2035951,123,http://192.168.1.118/big1.html,16
1548273643810,3904,HTTP Request medium1,200,Thread Group traccia1 misto 1-1,true,500266,126,http://192.168.1.118/medium1.html,1514
1548273641704,6125,HTTP Request big1,200,Thread Group traccia1 misto 1-9,true,2035951,123,http://192.168.1.118/big1.html,17
1548273647401,465,HTTP Request small1,200,Thread Group traccia1 misto 1-17,true,25314,125,http://192.168.1.118/small1.html,262
1548273643932,3997,HTTP Request medium1,200,Thread Group traccia1 misto 1-29,true,500266,126,http://192.168.1.118/medium1.html,1420
1548273647829,120,HTTP Request small1,200,Thread Group traccia1 misto 1-9,true,25314,125,http://192.168.1.118/small1.html,91
1548273646265,1731,HTTP Request small2,200,Thread Group traccia1 misto 1-19,true,100309,125,http://192.168.1.118/small2.html,993
1548273641754,6333,HTTP Request medium2,200,Thread Group traccia1 misto 1-28,true,1018167,126,http://192.168.1.118/medium2.html,2060
1548273642196,5919,HTTP Request medium2,200,Thread Group traccia1 misto 1-7,true,1018167,126,http://192.168.1.118/medium2.html,1854
1548273647901,245,HTTP Request small1,200,Thread Group traccia1 misto 1-17,true,25314,125,http://192.168.1.118/small1.html,32
1548273646806,1347,HTTP Request small2,200,Thread Group traccia1 misto 1-27,true,100309,125,http://192.168.1.118/small2.html,664
1548273647343,895,HTTP Request small2,200,Thread Group traccia1 misto 1-15,true,100309,125,http://192.168.1.118/small2.html,285
1548273646878,1365,HTTP Request small2,200,Thread Group traccia1 misto 1-8,true,100309,125,http://192.168.1.118/small2.html,620
1548273647054,1234,HTTP Request small2,200,Thread Group traccia1 misto 1-14,true,100309,125,http://192.168.1.118/small2.html,538
1548273644426,4059,HTTP Request medium1,200,Thread Group traccia1 misto 1-3,true,500266,126,http://192.168.1.118/medium1.html,1297
1548273648484,9,HTTP Request small1,200,Thread Group traccia1 misto 1-3,true,25314,125,http://192.168.1.118/small1.html,5
1548273648289,218,HTTP Request small1,200,Thread Group traccia1 misto 1-14,true,25314,125,http://192.168.1.118/small1.html,80
1548273642206,6346,HTTP Request medium2,200,Thread Group traccia1 misto 1-10,true,1018167,126,http://192.168.1.118/medium2.html,1971
1548273647669,937,HTTP Request small2,200,Thread Group traccia1 misto 1-6,true,100309,125,http://192.168.1.118/small2.html,52
1548273648238,987,HTTP Request small2,200,Thread Group traccia1 misto 1-15,true,100309,125,http://192.168.1.118/small2.html,207
1548273648789,573,HTTP Request small2,200,Thread Group traccia1 misto 1-14,true,100309,125,http://192.168.1.118/small2.html,7
1548273643294,6536,HTTP Request medium2,200,Thread Group traccia1 misto 1-24,true,1018167,126,http://192.168.1.118/medium2.html,1495
1548273649362,620,HTTP Request small2,200,Thread Group traccia1 misto 1-14,true,100309,125,http://192.168.1.118/small2.html,5
1548273643797,7112,HTTP Request medium2,200,Thread Group traccia1 misto 1-4,true,1018167,126,http://192.168.1.118/medium2.html,1562
1548273647420,3622,HTTP Request medium1,200,Thread Group traccia1 misto 1-26,true,500266,126,http://192.168.1.118/medium1.html,676
1548273648087,3082,HTTP Request medium1,200,Thread Group traccia1 misto 1-28,true,500266,126,http://192.168.1.118/medium1.html,6
1548273648154,3160,HTTP Request medium1,200,Thread Group traccia1 misto 1-27,true,500266,126,http://192.168.1.118/medium1.html,115
1548273644444,6927,HTTP Request medium2,200,Thread Group traccia1 misto 1-11,true,1018167,126,http://192.168.1.118/medium2.html,1271
1548273648243,3179,HTTP Request medium1,200,Thread Group traccia1 misto 1-8,true,500266,126,http://192.168.1.118/medium1.html,90
1548273644599,7104,HTTP Request medium2,200,Thread Group traccia1 misto 1-21,true,1018167,126,http://192.168.1.118/medium2.html,1133
1548273651703,164,HTTP Request small1,200,Thread Group traccia1 misto 1-21,true,25314,125,http://192.168.1.118/small1.html,6
1548273651042,860,HTTP Request small2,200,Thread Group traccia1 misto 1-26,true,100309,125,http://192.168.1.118/small2.html,4
1548273651371,591,HTTP Request small2,200,Thread Group traccia1 misto 1-11,true,100309,125,http://192.168.1.118/small2.html,6
1548273645766,6363,HTTP Request medium2,200,Thread Group traccia1 misto 1-30,true,1018167,126,http://192.168.1.118/medium2.html,568
1548273651422,749,HTTP Request small2,200,Thread Group traccia1 misto 1-8,true,100309,125,http://192.168.1.118/small2.html,10
1548273652203,213,HTTP Request small1,200,Thread Group traccia1 misto 1-21,true,25314,125,http://192.168.1.118/small1.html,11
1548273651962,666,HTTP Request small2,200,Thread Group traccia1 misto 1-11,true,100309,125,http://192.168.1.118/small2.html,4
1548273645959,6692,HTTP Request medium2,200,Thread Group traccia1 misto 1-23,true,1018167,126,http://192.168.1.118/medium2.html,438
1548273652703,74,HTTP Request small1,200,Thread Group traccia1 misto 1-21,true,25314,125,http://192.168.1.118/small1.html,4
