timeStamp,elapsed,label,threadName,success,bytes,sentBytes,URL,Latency
1548925472640,4692,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,123
1548925472660,4674,big1 20 thread,20 thread 1-17,true,2035951,127,http://raspberrypi.local/big1.html,74
1548925472644,4882,big1 20 thread,20 thread 1-13,true,2035951,127,http://raspberrypi.local/big1.html,115
1548925472626,9088,big1 20 thread,20 thread 1-8,true,2035951,127,http://raspberrypi.local/big1.html,2899
1548925472623,9519,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,3027
1548925472614,10713,big1 20 thread,20 thread 1-3,true,2035951,127,http://raspberrypi.local/big1.html,3995
1548925472614,11112,big1 20 thread,20 thread 1-1,true,2035951,127,http://raspberrypi.local/big1.html,4172
1548925478678,6736,big1 20 thread,20 thread 1-17,true,2035951,127,http://raspberrypi.local/big1.html,7
1548925478640,6960,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,11
1548925472662,14251,big2 20 thread,20 thread 1-18,true,4977620,127,http://raspberrypi.local/big2.html,76
1548925472669,14244,big2 20 thread,20 thread 1-20,true,4977620,127,http://raspberrypi.local/big2.html,99
1548925472664,14406,big2 20 thread,20 thread 1-19,true,4977620,127,http://raspberrypi.local/big2.html,64
1548925472657,14415,big2 20 thread,20 thread 1-16,true,4977620,127,http://raspberrypi.local/big2.html,86
1548925472653,14496,big2 20 thread,20 thread 1-15,true,4977620,127,http://raspberrypi.local/big2.html,96
1548925472651,14544,big2 20 thread,20 thread 1-14,true,4977620,127,http://raspberrypi.local/big2.html,102
1548925472610,14638,big2 20 thread,20 thread 1-4,true,4977620,127,http://raspberrypi.local/big2.html,164
1548925472637,15738,big2 20 thread,20 thread 1-11,true,4977620,127,http://raspberrypi.local/big2.html,701
1548925472634,17596,big2 20 thread,20 thread 1-10,true,4977620,127,http://raspberrypi.local/big2.html,1758
1548925472635,17743,big2 20 thread,20 thread 1-9,true,4977620,127,http://raspberrypi.local/big2.html,1823
1548925472629,19163,big2 20 thread,20 thread 1-5,true,4977620,127,http://raspberrypi.local/big2.html,2880
1548925485601,6332,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925485415,6889,big1 20 thread,20 thread 1-17,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925472624,19939,big2 20 thread,20 thread 1-7,true,4977620,127,http://raspberrypi.local/big2.html,3070
1548925472610,20864,big2 20 thread,20 thread 1-2,true,4977620,127,http://raspberrypi.local/big2.html,4247
1548925486915,6675,big1 20 thread,20 thread 1-18,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925487197,6477,big1 20 thread,20 thread 1-14,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925487073,6943,big1 20 thread,20 thread 1-16,true,2035951,127,http://raspberrypi.local/big1.html,10
1548925488377,6969,big1 20 thread,20 thread 1-11,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925478644,17072,big2 20 thread,20 thread 1-13,true,4977620,127,http://raspberrypi.local/big2.html,34
1548925490231,6579,big1 20 thread,20 thread 1-10,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925490379,6759,big1 20 thread,20 thread 1-9,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925481716,16279,big2 20 thread,20 thread 1-8,true,4977620,127,http://raspberrypi.local/big2.html,8
1548925491934,6636,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,5
1548925482144,16750,big2 20 thread,20 thread 1-6,true,4977620,127,http://raspberrypi.local/big2.html,6
1548925492565,6523,big1 20 thread,20 thread 1-7,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925493591,6498,big1 20 thread,20 thread 1-18,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925483329,16776,big2 20 thread,20 thread 1-3,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925493475,6840,big1 20 thread,20 thread 1-2,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925483728,16642,big2 20 thread,20 thread 1-1,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925494017,6500,big1 20 thread,20 thread 1-16,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925495716,6716,big1 20 thread,20 thread 1-13,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925486915,16572,big2 20 thread,20 thread 1-20,true,4977620,127,http://raspberrypi.local/big2.html,8
1548925487071,16484,big2 20 thread,20 thread 1-19,true,4977620,127,http://raspberrypi.local/big2.html,6
1548925497138,6450,big1 20 thread,20 thread 1-9,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925487249,16440,big2 20 thread,20 thread 1-4,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925487151,16918,big2 20 thread,20 thread 1-15,true,4977620,127,http://raspberrypi.local/big2.html,6
1548925497996,6783,big1 20 thread,20 thread 1-8,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925498571,6924,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925498895,6680,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925491793,16135,big2 20 thread,20 thread 1-5,true,4977620,127,http://raspberrypi.local/big2.html,5
1548925492304,16896,big2 20 thread,20 thread 1-17,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925503487,6325,big1 20 thread,20 thread 1-20,true,2035951,127,http://raspberrypi.local/big1.html,5
1548925503556,6655,big1 20 thread,20 thread 1-19,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925503689,6609,big1 20 thread,20 thread 1-4,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925493675,16625,big2 20 thread,20 thread 1-14,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925495347,16269,big2 20 thread,20 thread 1-11,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925505576,6821,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925496810,16716,big2 20 thread,20 thread 1-10,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925499089,16405,big2 20 thread,20 thread 1-7,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925509200,6784,big1 20 thread,20 thread 1-17,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925500090,16059,big2 20 thread,20 thread 1-18,true,4977620,127,http://raspberrypi.local/big2.html,6
1548925500105,16252,big2 20 thread,20 thread 1-3,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925509812,6757,big1 20 thread,20 thread 1-20,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925500315,16741,big2 20 thread,20 thread 1-2,true,4977620,127,http://raspberrypi.local/big2.html,7
1548925500518,16541,big2 20 thread,20 thread 1-16,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925500370,16769,big2 20 thread,20 thread 1-1,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925502433,16492,big2 20 thread,20 thread 1-13,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925512398,6792,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925503589,16303,big2 20 thread,20 thread 1-9,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925513525,6753,big1 20 thread,20 thread 1-10,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925504069,16688,big2 20 thread,20 thread 1-15,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925504780,16248,big2 20 thread,20 thread 1-8,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925505495,16433,big2 20 thread,20 thread 1-12,true,4977620,127,http://raspberrypi.local/big2.html,5
1548925515983,6630,big1 20 thread,20 thread 1-17,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925516149,6474,big1 20 thread,20 thread 1-18,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925516357,6530,big1 20 thread,20 thread 1-3,true,2035951,127,http://raspberrypi.local/big1.html,6
1548925516569,6862,big1 20 thread,20 thread 1-20,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925517058,6703,big1 20 thread,20 thread 1-16,true,2035951,127,http://raspberrypi.local/big1.html,7
1548925507928,15946,big2 20 thread,20 thread 1-5,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925517138,7074,big1 20 thread,20 thread 1-1,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925519189,6384,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925510300,15796,big2 20 thread,20 thread 1-14,true,4977620,127,http://raspberrypi.local/big2.html,12
1548925510299,16273,big2 20 thread,20 thread 1-4,true,4977620,127,http://raspberrypi.local/big2.html,5
1548925510212,16562,big2 20 thread,20 thread 1-19,true,4977620,127,http://raspberrypi.local/big2.html,3
1548925520279,6605,big1 20 thread,20 thread 1-10,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925520756,7033,big1 20 thread,20 thread 1-15,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925511616,16303,big2 20 thread,20 thread 1-11,true,4977620,127,http://raspberrypi.local/big2.html,4
1548925521927,6707,big1 20 thread,20 thread 1-12,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925523433,6937,big1 20 thread,20 thread 1-20,true,2035951,127,http://raspberrypi.local/big1.html,3
1548925523762,6726,big1 20 thread,20 thread 1-16,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925525574,6304,big1 20 thread,20 thread 1-6,true,2035951,127,http://raspberrypi.local/big1.html,4
1548925515493,16473,big2 20 thread,20 thread 1-7,true,4977620,127,http://raspberrypi.local/big2.html,4
