timeStamp,elapsed,label,threadName,success,bytes,sentBytes,URL,Latency
1548771487229,83,small1 10 thread,10 thread 3-3,true,25314,129,http://raspberrypi.local/small1.html,11
1548771487223,90,small1 10 thread,10 thread 3-1,true,25314,129,http://raspberrypi.local/small1.html,4
1548771487237,742,medium1 10 thread,10 thread 3-6,true,500266,130,http://raspberrypi.local/medium1.html,18
1548771487243,1339,medium2 10 thread,10 thread 3-8,true,1018167,130,http://raspberrypi.local/medium2.html,22
1548771487251,1335,medium2 10 thread,10 thread 3-10,true,1018167,130,http://raspberrypi.local/medium2.html,25
1548771487240,2175,big1 10 thread,10 thread 3-7,true,2035951,127,http://raspberrypi.local/big1.html,19
1548771487225,2214,big1 10 thread,10 thread 3-2,true,2035951,127,http://raspberrypi.local/big1.html,8
1548771487233,2218,big1 10 thread,10 thread 3-5,true,2035951,127,http://raspberrypi.local/big1.html,15
1548771487248,3159,big2 10 thread,10 thread 3-9,true,4977620,127,http://raspberrypi.local/big2.html,21
1548771487229,3185,big2 10 thread,10 thread 3-4,true,4977620,127,http://raspberrypi.local/big2.html,16
1548771493229,58,small1 10 thread,10 thread 3-3,true,25314,129,http://raspberrypi.local/small1.html,53
1548771493252,256,small2 10 thread,10 thread 3-10,true,100309,129,http://raspberrypi.local/small2.html,37
1548771493237,756,medium1 10 thread,10 thread 3-6,true,500266,130,http://raspberrypi.local/medium1.html,67
1548771493226,784,medium1 10 thread,10 thread 3-2,true,500266,130,http://raspberrypi.local/medium1.html,65
1548771493244,775,medium1 10 thread,10 thread 3-8,true,500266,130,http://raspberrypi.local/medium1.html,32
1548771493229,1178,medium2 10 thread,10 thread 3-4,true,1018167,130,http://raspberrypi.local/medium2.html,30
1548771493241,1858,big1 10 thread,10 thread 3-7,true,2035951,127,http://raspberrypi.local/big1.html,15
1548771493233,1870,big1 10 thread,10 thread 3-5,true,2035951,127,http://raspberrypi.local/big1.html,79
1548771493248,2797,big2 10 thread,10 thread 3-9,true,4977620,127,http://raspberrypi.local/big2.html,23
1548771493222,2826,big2 10 thread,10 thread 3-1,true,4977620,127,http://raspberrypi.local/big2.html,4
1548771499229,35,small1 10 thread,10 thread 3-3,true,25314,129,http://raspberrypi.local/small1.html,30
1548771499237,47,small1 10 thread,10 thread 3-6,true,25314,129,http://raspberrypi.local/small1.html,42
1548771499241,54,small1 10 thread,10 thread 3-7,true,25314,129,http://raspberrypi.local/small1.html,16
1548771499233,89,small1 10 thread,10 thread 3-5,true,25314,129,http://raspberrypi.local/small1.html,8
1548771499252,79,small1 10 thread,10 thread 3-10,true,25314,129,http://raspberrypi.local/small1.html,19
1548771499222,1786,big1 10 thread,10 thread 3-1,true,2035951,127,http://raspberrypi.local/big1.html,4
1548771499226,1795,big1 10 thread,10 thread 3-2,true,2035951,127,http://raspberrypi.local/big1.html,62
1548771499248,1775,big1 10 thread,10 thread 3-9,true,2035951,127,http://raspberrypi.local/big1.html,29
1548771499244,2751,big2 10 thread,10 thread 3-8,true,4977620,127,http://raspberrypi.local/big2.html,23
1548771499229,2777,big2 10 thread,10 thread 3-4,true,4977620,127,http://raspberrypi.local/big2.html,23
1548771505236,69,small1 10 thread,10 thread 3-6,true,25314,129,http://raspberrypi.local/small1.html,31
1548771505225,111,small1 10 thread,10 thread 3-2,true,25314,129,http://raspberrypi.local/small1.html,53
1548771505247,165,small2 10 thread,10 thread 3-9,true,100309,129,http://raspberrypi.local/small2.html,13
1548771505228,203,small2 10 thread,10 thread 3-4,true,100309,129,http://raspberrypi.local/small2.html,12
1548771505232,209,small2 10 thread,10 thread 3-5,true,100309,129,http://raspberrypi.local/small2.html,38
1548771505251,206,small2 10 thread,10 thread 3-10,true,100309,129,http://raspberrypi.local/small2.html,13
1548771505240,830,medium2 10 thread,10 thread 3-7,true,1018167,130,http://raspberrypi.local/medium2.html,15
1548771505243,1348,big1 10 thread,10 thread 3-8,true,2035951,127,http://raspberrypi.local/big1.html,30
1548771505228,1365,big1 10 thread,10 thread 3-3,true,2035951,127,http://raspberrypi.local/big1.html,7
1548771505221,1863,big2 10 thread,10 thread 3-1,true,4977620,127,http://raspberrypi.local/big2.html,4
1548771511228,221,small1 10 thread,10 thread 3-4,true,25314,129,http://raspberrypi.local/small1.html,150
1548771511247,303,small2 10 thread,10 thread 3-9,true,100309,129,http://raspberrypi.local/small2.html,96
1548771511221,339,small2 10 thread,10 thread 3-1,true,100309,129,http://raspberrypi.local/small2.html,112
1548771511236,326,small2 10 thread,10 thread 3-6,true,100309,129,http://raspberrypi.local/small2.html,112
1548771511240,323,small2 10 thread,10 thread 3-7,true,100309,129,http://raspberrypi.local/small2.html,113
1548771511224,1125,medium2 10 thread,10 thread 3-2,true,1018167,130,http://raspberrypi.local/medium2.html,151
1548771511243,1753,big1 10 thread,10 thread 3-8,true,2035951,127,http://raspberrypi.local/big1.html,121
1548771511232,1773,big1 10 thread,10 thread 3-5,true,2035951,127,http://raspberrypi.local/big1.html,125
1548771511228,1790,big1 10 thread,10 thread 3-3,true,2035951,127,http://raspberrypi.local/big1.html,140
1548771511251,2244,big2 10 thread,10 thread 3-10,true,4977620,127,http://raspberrypi.local/big2.html,86
1548771517228,98,small1 10 thread,10 thread 3-4,true,25314,129,http://raspberrypi.local/small1.html,5
1548771517232,783,medium1 10 thread,10 thread 3-5,true,500266,130,http://raspberrypi.local/medium1.html,39
1548771517221,1528,medium2 10 thread,10 thread 3-1,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548771517243,1511,medium2 10 thread,10 thread 3-8,true,1018167,130,http://raspberrypi.local/medium2.html,18
1548771517225,2539,big1 10 thread,10 thread 3-2,true,2035951,127,http://raspberrypi.local/big1.html,53
1548771517236,2534,big1 10 thread,10 thread 3-6,true,2035951,127,http://raspberrypi.local/big1.html,10
1548771517228,2547,big1 10 thread,10 thread 3-3,true,2035951,127,http://raspberrypi.local/big1.html,23
1548771517240,3961,big2 10 thread,10 thread 3-7,true,4977620,127,http://raspberrypi.local/big2.html,18
1548771517247,3976,big2 10 thread,10 thread 3-9,true,4977620,127,http://raspberrypi.local/big2.html,21
1548771517251,3976,big2 10 thread,10 thread 3-10,true,4977620,127,http://raspberrypi.local/big2.html,24
1548771523228,53,small1 10 thread,10 thread 3-3,true,25314,129,http://raspberrypi.local/small1.html,49
1548771523232,96,small1 10 thread,10 thread 3-5,true,25314,129,http://raspberrypi.local/small1.html,15
1548771523221,211,small2 10 thread,10 thread 3-1,true,100309,129,http://raspberrypi.local/small2.html,4
1548771523251,628,medium1 10 thread,10 thread 3-10,true,500266,130,http://raspberrypi.local/medium1.html,34
1548771523240,643,medium1 10 thread,10 thread 3-7,true,500266,130,http://raspberrypi.local/medium1.html,68
1548771523243,695,medium1 10 thread,10 thread 3-8,true,500266,130,http://raspberrypi.local/medium1.html,24
1548771523228,1039,medium2 10 thread,10 thread 3-4,true,1018167,130,http://raspberrypi.local/medium2.html,28
1548771523236,1490,big1 10 thread,10 thread 3-6,true,2035951,127,http://raspberrypi.local/big1.html,5
1548771523225,2498,big2 10 thread,10 thread 3-2,true,4977620,127,http://raspberrypi.local/big2.html,28
1548771523247,2479,big2 10 thread,10 thread 3-9,true,4977620,127,http://raspberrypi.local/big2.html,43
1548771529229,52,small1 10 thread,10 thread 3-4,true,25314,129,http://raspberrypi.local/small1.html,4
1548771529248,72,small1 10 thread,10 thread 3-9,true,25314,129,http://raspberrypi.local/small1.html,21
1548771529222,102,small1 10 thread,10 thread 3-1,true,25314,129,http://raspberrypi.local/small1.html,4
1548771529244,1182,medium2 10 thread,10 thread 3-8,true,1018167,130,http://raspberrypi.local/medium2.html,22
1548771529229,1253,medium2 10 thread,10 thread 3-3,true,1018167,130,http://raspberrypi.local/medium2.html,12
1548771529226,1281,medium2 10 thread,10 thread 3-2,true,1018167,130,http://raspberrypi.local/medium2.html,70
1548771529233,1274,medium2 10 thread,10 thread 3-5,true,1018167,130,http://raspberrypi.local/medium2.html,23
1548771529241,1757,big1 10 thread,10 thread 3-7,true,2035951,127,http://raspberrypi.local/big1.html,18
1548771529237,2725,big2 10 thread,10 thread 3-6,true,4977620,127,http://raspberrypi.local/big2.html,14
1548771529252,2724,big2 10 thread,10 thread 3-10,true,4977620,127,http://raspberrypi.local/big2.html,20
1548771535229,76,small1 10 thread,10 thread 3-3,true,25314,129,http://raspberrypi.local/small1.html,29
1548771535233,94,small1 10 thread,10 thread 3-5,true,25314,129,http://raspberrypi.local/small1.html,48
